ParameterName,GM_AU3_per_Day2
MA0283,0.205261129451618042E-15
MA0287,0.467615815379096336E-16
MA0303,0.215071026179133617E-15
MA0304,0.556984123371879717E-16
MA0308,0.483285174082294730E-15
MA0313,0.168403251706267352E-15
MA0322,0.720621205674772925E-16
MA0324,0.141448330597276081E-14
MA0326,0.112799763312143417E-15
MA0328,0.291269999999999998E-15
MA0329,0.454697429214828836E-16
MA0334,0.117359661980724144E-14
MA0335,0.141408018248444801E-15
MA0336,0.564299999999999994E-16
MA0337,0.396134853095532955E-16
MA0338,0.511653612973402807E-16
MA0344,0.566463583370572779E-15
MA0345,0.192633360758431530E-15
MA0346,0.184078585914492954E-15
MA0347,0.234656870609016196E-16
MA0349,0.583387101641855343E-15
MA0350,0.197468550888455282E-15
MA0354,0.941171678281437686E-15
MA0356,0.226097071350946734E-15
MA0357,0.186659275752330968E-15
MA0358,0.132074383425461212E-15
MA0360,0.360289381957526581E-15
MA0362,0.990074311329003775E-16
MA0363,0.650123602518056108E-16
MA0365,0.129491477946980190E-15
MA0366,0.133509840578213107E-15
MA0369,0.542670040390542792E-16
MA0372,0.155850391906156955E-14
MA0373,0.124420817277744464E-15
MA0377,0.144403001160900199E-15
MA0381,0.381078647947940583E-15
MA0385,0.132284513310115409E-15
MA0386,0.945695046321959762E-15
MA0387,0.145088203419712010E-15
MA0388,0.323762199222114031E-15
MA0389,0.955954013324676966E-16
MA0393,0.155860000000000007E-15
MA0404,0.637421664490035797E-16
MA0405,0.511705423459012111E-15
MA0407,0.181340247490906218E-15
MA0410,0.330190016066658021E-15
MA0412,0.152077243526391979E-15
MA0415,0.607501476650531322E-16
MA0416,0.147329291786369208E-15
MA0419,0.367819999999999980E-15
MA0420,0.483520000000000016E-15
MA0423,0.106421120703671616E-14
MA0424,0.754696625069685959E-16
MA0426,0.253884375547071978E-15
MA0431,0.708288769106631337E-16
MA0432,0.180371342590353401E-16
MA0433,0.989999919357006974E-18
MA0442,0.505847657817708938E-16
MA0444,0.651536967716121941E-15
MA0445,0.125194815557307836E-15
MA0449,0.121549506961560537E-15
MA0451,0.281485678794876318E-14
MA0454,0.857073101747674571E-16
MA0455,0.200939960779761789E-15
MA0464,0.844029119324191950E-16
MA0465,0.742336373854424561E-16
MA0466,0.213858916063589196E-15
MA0469,0.322839999999999986E-15
MA0471,0.580605068853558388E-15
MA0476,0.316291190394871762E-15
MA0481,0.253852238195686438E-15
MA0488,0.668562343256520501E-15
MA0489,0.339882444505898812E-15
MA0490,0.303631751783369512E-15
MA0491,0.145623012524715518E-15
MA0498,0.126325843694314834E-15
MA0503,0.101963131532967846E-15
MA0505,0.254458175441871789E-15
MA0506,0.254151953415582379E-15
MA0508,0.385165671335893094E-15
MA0511,0.555701572643658878E-14
MA0514,0.248967448828370221E-15
MA0516,0.695999999999999994E-16
MA0517,0.117098843776121138E-15
MA0521,0.173220646884016818E-15
MA0532,0.132560146462375813E-14
MA0535,0.773385091362446651E-16
MA0536,0.652472672280870851E-15
MA0545,0.210068350123843378E-15
MA0547,0.290157387838001117E-16
MA0554,0.393680757126592475E-15
MA0566,0.626740000000000004E-15
MA0568,0.884857198649998082E-16
MA0569,0.675567675551067266E-16
MA0584,0.216242284374690160E-16
MA0585,0.251762570058038639E-16
MA0591,0.247966051546394373E-16
MA0593,0.646776635677480593E-16
MA0595,0.241058586648456182E-15
MA0596,0.263746748052165252E-15
MA0598,0.619650651615252240E-16
MA0599,0.597707273569019015E-16
MA0602,0.304266821911302533E-15
MA0604,0.557121552715537098E-16
MA0618,0.329076689284309020E-15
MA0623,0.148522518086320182E-16
MA0626,0.927651874172353816E-16
MA0635,0.152661903585888584E-15
MA0663,0.156853429960671634E-15
MA0667,0.112683443955679615E-15
MA0674,0.112371137502999577E-15
MA0680,0.110535347865607255E-15
MA0683,0.909804620294340958E-16
MA0690,0.533402461823419147E-15
MA0691,0.926009913635500906E-16
MA0694,0.210927812751641755E-15
MA0696,0.987576234855500703E-16
MA0702,0.898005885746755182E-15
MA0704,0.593953769235881470E-14
MA0705,0.386230166157660909E-15
MA0709,0.139253846864369796E-15
MA0712,0.153315892618386619E-15
MA0713,0.172422908622781628E-15
MA0735,0.752157111944836802E-16
MA0739,0.149918968719641222E-15
MA0740,0.131788653713455317E-15
MA0747,0.726771292985240904E-15
MA0751,0.727348458900557513E-16
MA0752,0.482750794761404641E-16
MA0762,0.208048369108187295E-15
MA0769,0.177581411260410263E-15
MA0772,0.340473634172895636E-15
MA0773,0.165998775034641036E-15
MA0776,0.878282879254437224E-15
MA0778,0.454021238922015537E-16
MA0780,0.156402097762696701E-15
MA0784,0.124693640014022443E-15
MA0786,0.142688475394159243E-15
MA0788,0.215167746136325602E-15
MA0790,0.796628983003414422E-15
MA0791,0.113779494571090054E-15
MA0804,0.188303712626626814E-15
MA0814,0.362906458834371988E-15
MA0849,0.904896800465624416E-16
MA0895,0.382740208176195589E-15
MA0909,0.289195519592275381E-15
MA0914,0.462083489426628254E-16
MA0980,0.120927815156069547E-15
MA1015,0.147659185242082618E-15
MA1021,0.954187495060268837E-16
MA1093,0.345187577807195982E-15
MA1107,0.104805009061152941E-15
MA1171,0.561644936138725120E-16
MA1467,0.163979496420789985E-15
MA0025,0.774207340359287486E-16
MA0027,0.300481265795480703E-15
MA0046,0.327280000000000015E-15
MA0053,0.121507683133931433E-15
MA0111,0.182745688842747805E-15
MA0139,0.236996926350481667E-15
MA0156,0.263360000000000004E-15
MA0375,0.348401933175241070E-15
MA0409,0.821449999999999967E-15
MA0485,0.367888637596589458E-16
MA0654,0.359529999999999997E-15
MA0675,0.166998553094411392E-15
MA0760,0.591881296840460074E-16
MA1036,0.473322986921536332E-16
